seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch
0.0,1.6907665605678538e+18,0.0648535970052083,2.329781892375151,1.356552653786043,-0.6876488918433586,1.690766560559085e+18,0.0560850830078125,-0.68536376953125,-0.3283424377441406,0.0442619323730468,1.6907665605678538e+18,0.0648535970052083,-8.529716728953519,-4.642744069954255,1.3624646055986485,1.6907665605678538e+18,0.0648535970052083,-0.5295319755872091,-0.6859181523323059,0.6625553071498871,1.690766560559085e+18,0.0560850830078125,-0.3123452514410019,-0.5126690194010735,0.9777980223298072,1.690766560532166e+18,0.029165771484375,40.93829727172851,-1.0,-1.0,49.276351981616834,59.97686767578125,-1.0,35.0,18.011295318603516,-122.87119923958949,-1.0,1.6907665605678538e+18,0.0648535970052083,-35.01393127441406,-38.22954686482747,11.110636393229166,1.690766560553532e+18,0.05053193359375,3.3705841064453126,-15.132904052734377,142.8725158691406,1.6907665605678538e+18,0.0648535970052083,0.9971334287349366,0.1770285695098845,0.4792033330866732,0.1583859728970655,0.8397912387734771,0.1837247665112223,0.4931850598828422
0.05,1.6907665606079414e+18,0.104941552734375,2.5033813475126028,1.239135844992101,-0.1356494688698649,1.6907665606066898e+18,0.103689599609375,-0.6411407470703125,-0.312945556640625,0.1258270263671875,1.6907665606079414e+18,0.104941552734375,-8.629365163408519,-4.475019040324091,1.2814843974477053,1.6907665606079414e+18,0.104941552734375,-0.8718232870101928,-0.2414625823497772,-1.1415215849876403,1.6907665606066898e+18,0.103689599609375,-0.8796170711517334,-0.2866254150867462,-1.0986348062753677,,,,,,,,,,,,,1.6907665606079414e+18,0.104941552734375,-35.669847106933595,-37.940321350097655,11.307156372070311,1.6907665606055255e+18,0.102525341796875,2.754931640625,-14.962429809570311,143.0630889892578,1.6907665606079414e+18,0.104941552734375,0.9626680706183134,0.1743544017650814,0.4640713502149882,0.1474044810566276,0.8512143307450402,0.1718787135405085,0.4739534216087112
0.1,1.6907665606530406e+18,0.1500405883789062,0.2770952321544289,1.2929265449557452,4.870621146402508,1.6907665606567995e+18,0.153799462890625,-0.9105316162109376,-0.266802978515625,0.6092864990234375,1.6907665606530406e+18,0.1500405883789062,-8.842501016706228,-3.934853258136287,1.576402783384174,1.6907665606530406e+18,0.1500405883789062,1.0800296068191528,1.0121379271149635,-0.9899137169122696,1.6907665606567995e+18,0.153799462890625,1.1761642783880233,0.6742030382156372,-0.8373938784003258,,,,,,,,,,,,,1.6907665606530406e+18,0.1500405883789062,-37.4740047454834,-35.44693374633789,12.601341247558594,1.6907665606523192e+18,0.1493193359375,0.9999504089355468,-12.414485931396484,144.3354454040527,1.6907665606530406e+18,0.1500405883789062,0.9640757308220724,0.1409395772322023,0.4679414442671963,0.1763928420606742,0.8554568824821609,0.1710017232466324,0.4128926772463262
0.15,1.6907665606981394e+18,0.19513955078125,-0.3630820846152305,0.647300592778325,-0.5849130809612572,1.6907665607069097e+18,0.2039095703125,-0.9495391845703124,-0.368328857421875,-0.0586700439453125,1.6907665606981394e+18,0.19513955078125,-8.91094771165788,-3.934090559361577,1.0917357033477724,1.6907665606981394e+18,0.19513955078125,0.4055658161640167,-2.094571661949158,0.2524221312254667,1.6907665607069097e+18,0.2039095703125,-0.1210262179374694,-2.3535109043121336,0.3140890598297119,,,,,,,,,,,,,1.6907665606981394e+18,0.19513955078125,-38.16881713867187,-35.773902893066406,9.590463256835935,1.6907665606991173e+18,0.1961173828125,0.3497802734375,-13.0043212890625,140.86172485351562,1.6907665606981394e+18,0.19513955078125,1.0268021573923416,0.1489343502298316,0.4905858203186189,0.1218334502295023,0.8447748604667502,0.1523888626895422,0.4127945699129699
0.2,1.6907665607482496e+18,0.245249609375,-1.2180360660791396,2.1393886946976184,0.7453682048312202,1.6907665607570194e+18,0.25401953125,-1.020001220703125,-0.176959228515625,0.12904052734375,1.6907665607482496e+18,0.245249609375,-8.917547314505578,-4.070431985244452,0.1668824201677064,1.6907665607482496e+18,0.245249609375,-0.3422463953495026,-1.779742169380188,0.2049269378185272,1.6907665607570194e+18,0.25401953125,-0.0805657401680946,-1.2784592628479003,-0.0304004102945327,,,,,,,,,,,,,1.6907665607482496e+18,0.245249609375,-38.431565856933595,-36.19841842651367,6.511782836914063,1.690766560751112e+18,0.2481119628906249,0.1890655517578125,-13.41536865234375,137.4051544189453,1.6907665607482496e+18,0.245249609375,1.0016046243663423,0.1818682142104756,0.4708311487456472,0.0186688294529628,0.8561281781440225,0.1099415136511588,0.4280214848047073
0.25,1.6907665607983596e+18,0.2953594726562499,-0.509530536944866,1.2815972686246035,-0.192600127048511,1.6907665608071296e+18,0.304129443359375,-1.00302734375,-0.2339813232421875,-0.085870361328125,1.6907665607983596e+18,0.2953594726562499,-9.021935675932168,-3.839143278592824,-0.1096080597031023,1.6907665607983596e+18,0.2953594726562499,0.097687204554677,0.1670478150248527,-1.063158679008484,1.6907665608071296e+18,0.304129443359375,-0.0115707924589514,0.1213857114315032,-1.0104387283325196,,,,,,,,,,,,,1.6907665607983596e+18,0.2953594726562499,-39.24861602783203,-35.55452423095703,4.719033813476562,1.6907665608031045e+18,0.300104150390625,-1.1666229248046875,-12.148263549804687,136.35946350097657,1.6907665607983596e+18,0.2953594726562499,1.005895498273573,0.1779169667273818,0.4712003536086421,-0.0121580601594777,0.8590444020986745,0.0910749276405028,0.4022962152018133
0.3,1.6907665608484695e+18,0.345469580078125,-0.8213989178645612,2.098860694119632,-0.0973896652989275,1.6907665608572396e+18,0.3542396484375,-1.0116058349609376,-0.1161956787109375,0.0189788818359375,1.6907665608484695e+18,0.345469580078125,-9.185735309844016,-3.431922075617313,-0.0183101379196334,1.6907665608484695e+18,0.345469580078125,-0.2854479193687438,0.2417741864919662,-0.7768127083778381,1.6907665608572396e+18,0.3542396484375,-0.2636697798967361,0.2876339107751846,-0.7621132850646972,,,,,,,,,,,,,1.6907665608484695e+18,0.345469580078125,-40.645928955078126,-33.670108795166016,5.085333251953125,1.6907665608551e+18,0.3520999999999999,-2.45701904296875,-10.304592895507811,137.00275268554688,1.6907665608484695e+18,0.345469580078125,0.9963478240433472,0.1566787835532688,0.470025369582515,-0.0020142590979574,0.8645310100462822,0.0841120965418626,0.3575504477727325
0.35,1.6907665608985797e+18,0.39557958984375,-0.395409301533103,1.9608537900164724,0.1723395279462635,1.6907665609073495e+18,0.404349560546875,-1.0112518310546874,-0.1129302978515625,0.0196197509765625,1.6907665608985797e+18,0.39557958984375,-9.301436391019225,-3.1046835162517428,0.0812363350637664,1.6907665608985797e+18,0.39557958984375,-0.2571696728467941,-0.2801557831466198,-0.551786196231842,1.6907665609073495e+18,0.404349560546875,-0.2722282171249389,-0.4819879919290543,-0.4438204795122146,,,,,,,,,,,,,1.6907665608985797e+18,0.39557958984375,-42.06634368896484,-32.06078681945801,5.74696044921875,1.6907665609070968e+18,0.404097021484375,-3.7882659912109378,-8.8890380859375,137.29839477539062,1.6907665608985797e+18,0.39557958984375,0.9835449757807984,0.1393252576439201,0.4666885434401576,0.0087413873056927,0.8697345147628859,0.0795334800996202,0.3221435538405353
0.4,1.6907665609486894e+18,0.44568955078125,-1.0962047531336547,1.7729989176130292,-0.3095784470048732,1.6907665609574597e+18,0.4544595703125,-1.018121337890625,-0.1535064697265625,-0.067547607421875,1.6907665609486894e+18,0.44568955078125,-9.332967489123345,-3.00370823659122,-0.1879366926815825,1.6907665609486894e+18,0.44568955078125,-0.3571305096149444,-0.7791192293167114,0.0205066882073879,1.6907665609574597e+18,0.4544595703125,-0.3838779926300049,-0.6942855536937713,-0.0182798862457275,,,,,,,,,,,,,1.6907665609486894e+18,0.44568955078125,-42.684626770019534,-31.428686141967773,4.949923706054688,1.6907665609538903e+18,0.4508902587890625,-4.103858947753906,-8.578636169433594,136.49505996704102,1.6907665609486894e+18,0.44568955078125,0.9679590730795012,0.1418247010541898,0.4582654131507381,-0.020137395769361,0.8751172507445734,0.0633160389545994,0.3112966016289083
0.45,1.6907665609987996e+18,0.495799658203125,-0.3043192807143927,1.091246604656577,-0.399718155788593,1.6907665610075694e+18,0.5045695800781249,-1.01263427734375,-0.189532470703125,-0.084246826171875,1.6907665609987996e+18,0.495799658203125,-9.35412940271318,-2.921613656941652,-0.3628051600634679,1.6907665609987996e+18,0.495799658203125,-0.5129860460758209,-0.2872066915035248,-0.3887698709964752,1.6907665610075694e+18,0.5045695800781249,-0.5474157989025116,-0.2775302559137344,-0.4009290993213653,,,,,,,,,,,,,1.6907665609987996e+18,0.495799658203125,-42.99021759033203,-30.931096267700195,4.502508544921875,1.690766561000685e+18,0.497685107421875,-4.502560424804687,-7.935791015625,136.18959350585936,1.6907665609987996e+18,0.495799658203125,0.9445935941001332,0.1428698427730347,0.4470482178856304,-0.038763694241916,0.8815102149233376,0.0514837318383682,0.3025196223022389
0.5,1.6907665610489096e+18,0.5459095703125,-0.4048547076529264,0.6470226526197791,-0.4122136994201317,1.6907665610576796e+18,0.5546794921875,-1.006781005859375,-0.2167999267578125,-0.0673492431640625,1.6907665610489096e+18,0.5459095703125,-9.406224448513983,-2.7395847726649043,-0.4286898005878179,1.6907665610489096e+18,0.5459095703125,-0.7116305947303772,-0.3655824601650238,-0.4553081095218658,1.6907665610576796e+18,0.5546794921875,-0.7097355127334595,-0.3431576192378998,-0.4487766206264496,,,,,,,,,,,,,1.6907665610489096e+18,0.5459095703125,-43.56095504760742,-29.986591339111328,4.646701049804688,1.690766561052679e+18,0.549678662109375,-5.210052490234375,-6.823764038085938,136.37095947265624,1.6907665610489096e+18,0.5459095703125,0.9111066377193384,0.1365735021725392,0.4325521393101262,-0.0455396174989689,0.8901977228154296,0.0418296489019636,0.2831331335515094
