seconds_elapsed_rounded,accelerometer_time,accelerometer_seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometeruncalibrated_time,accelerometeruncalibrated_seconds_elapsed,accelerometeruncalibrated_z,accelerometeruncalibrated_y,accelerometeruncalibrated_x,gravity_time,gravity_seconds_elapsed,gravity_z,gravity_y,gravity_x,gyroscope_time,gyroscope_seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeuncalibrated_time,gyroscopeuncalibrated_seconds_elapsed,gyroscopeuncalibrated_z,gyroscopeuncalibrated_y,gyroscopeuncalibrated_x,location_time,location_seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_time,magnetometer_seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometeruncalibrated_time,magnetometeruncalibrated_seconds_elapsed,magnetometeruncalibrated_z,magnetometeruncalibrated_y,magnetometeruncalibrated_x,orientation_time,orientation_seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw
0.0,1.688875930349198e+18,15.006197998046874,-7.076422770818074,-10.231992403666178,-1.5580387115478522,1.688875930349198e+18,15.006197998046874,-3.4987053920825324,-18.3503573735555,2.7351953983306885,1.688875930349198e+18,15.006197998046874,3.55491574605306,-8.102620124816895,4.22852087020874,1.688875930344875e+18,15.001875,-0.3159700433413187,1.5338317155838013,-0.7274896502494812,1.688875930349198e+18,15.006197998046874,-0.1143845294912656,1.5288430452346802,-1.2025900681813555,,,,,,,,,,,,1.688875930341113e+18,14.998112939453126,-3.740519976615906,49.919959259033206,-12.902719879150393,1.688875930341113e+18,14.998112939453126,-259.3671142578125,144.77495727539062,-146.02911682128905,1.6888759303405463e+18,14.997546142578123,0.1193560138344764,-0.3337093591690063,-0.4539886415004729,0.8174024422963461,-0.8755689462025961,0.964786926905314,0.1909092267354329
0.05,1.6888759303924475e+18,15.049447631835935,-7.844653129577637,1.4100775718688965,0.2205801010131836,1.6888759303924475e+18,15.049447631835935,-5.150550842285156,-7.350751399993896,3.819842338562012,1.6888759303924475e+18,15.049447631835935,2.671300768852234,-8.745083808898926,3.534548759460449,1.688875930396773e+18,15.053773193359376,1.2769628763198853,4.519690116246541,-4.748561064402263,1.6888759303924475e+18,15.049447631835935,1.4049900770187378,4.6048548221588135,-4.575151681900024,,,,,,,,,,,,1.688875930391116e+18,15.048115966796876,1.481079959869385,49.89311904907227,-11.746159553527832,1.688875930391116e+18,15.048115966796876,-254.1455108642578,144.74811706542968,-144.87255859375,1.6888759303924503e+18,15.049450358072916,0.0732983760535716,-0.2763297508160273,-0.5359540482362112,0.792840321858724,-0.933448354403178,1.1025186777114868,0.4183473984400431
0.1,1.6888759304356997e+18,15.092699462890629,-6.866156578063965,0.3061148325602214,0.1048622131347656,1.6888759304356997e+18,15.092699462890629,-5.736393769582112,-9.02074178059896,2.988635540008545,1.6888759304356997e+18,15.092699462890629,1.106961578130722,-9.311111450195312,2.8190598487854004,1.688875930448674e+18,15.105674316406253,-0.3438153266906738,5.101641019185384,-5.202077547709147,1.6888759304356997e+18,15.092699462890629,0.1663589725891748,4.931107997894287,-5.693060398101807,,,,,,,,,,,,1.688875930441114e+18,15.098114208984375,11.770559883117675,48.778038787841794,-10.879959678649902,1.688875930441114e+18,15.098114208984375,-243.8560363769531,143.63303833007814,-144.00635681152343,1.6888759304443505e+18,15.1013505859375,-0.0202438253909349,-0.1758936693271001,-0.6540728410085043,0.7334476113319397,-1.3086412747701008,1.2631089687347412,1.0851218700408936
0.15,1.6888759304876e+18,15.144600016276042,-4.161076704661052,-2.3576265970865884,-5.023836215337117,1.6888759304876e+18,15.144600016276042,-4.251248121261597,-11.720842679341636,-1.9884356061617536,1.6888759304876e+18,15.144600016276042,-0.1129728915790716,-9.347470919291178,2.9706871509552,1.6888759305005742e+18,15.157574300130207,-0.286699429154396,0.5326744963725408,-1.7178039948145545,1.6888759304876e+18,15.144600016276042,-0.5421428953607877,2.484083433945974,-2.0356575647989907,,,,,,,,,,,,1.6888759304911122e+18,15.148112158203125,19.26623954772949,45.44499893188477,-15.345159912109375,1.6888759304911122e+18,15.148112158203125,-236.3603546142578,140.29999694824218,-148.4715576171875,1.6888759304962506e+18,15.153250732421874,-0.1052864864468574,-0.114309179286162,-0.7056800723075867,0.6911511619885763,-1.642726977666219,1.257474939028422,1.6298113663991292
0.2,1.6888759305395023e+18,15.196502278645832,4.316927989323934,2.846224784851074,-3.0851199626922607,1.6888759305395023e+18,15.196502278645832,3.1369904279708862,-6.458427747090657,-0.1252243916193644,1.6888759305395023e+18,15.196502278645832,-1.2027390400568645,-9.288907368977863,2.8951820532480874,1.6888759305438316e+18,15.20083142089844,0.1374446786940097,-1.370247095823288,-2.36206316947937,1.6888759305395023e+18,15.196502278645832,0.1432478999098141,-1.4285083711147308,-2.306474447250366,,,,,,,,,,,,1.688875930541114e+18,15.198114306640624,24.71719970703125,43.23923873901367,-15.159719467163086,1.688875930541114e+18,15.198114306640624,-230.90939636230468,138.0942413330078,-148.28611450195314,1.6888759305481595e+18,15.20515966796875,-0.0882018283009528,-0.1260541751980781,-0.744907816251119,0.6489821473757426,-2.0160131454467773,1.235904335975647,1.961711923281352
0.25,1.6888759305914038e+18,15.248403645833337,5.611172755559285,3.3166006406148276,-0.5386292934417725,1.6888759305914038e+18,15.248403645833337,3.5581273635228476,-5.817151228586833,2.4841487407684326,1.6888759305914038e+18,15.248403645833337,-2.075846870740255,-9.118006706237791,2.958064556121826,1.688875930587079e+18,15.244078613281252,-0.0178678097824256,2.022422115008036,-2.186744848887126,1.6888759305914038e+18,15.248403645833337,-0.0668897405266761,2.1956024169921875,-2.1689788500467935,,,,,,,,,,,,1.6888759305911124e+18,15.248112548828123,29.792399597167968,40.10627899169922,-15.86487979888916,1.6888759305911124e+18,15.248112548828123,-225.83419494628907,134.9612823486328,-148.99127502441405,1.6888759306000507e+18,15.257050537109372,-0.1220624819397925,-0.0978831027944882,-0.7749919096628824,0.6118587851524353,-2.1897388299306235,1.180793325106303,2.2246816953023276
0.3,1.6888759306433126e+18,15.300312825520834,2.273746411005656,1.4894625345865886,-3.0654221773147583,1.6888759306433126e+18,15.300312825520834,-0.2751746078332265,-7.378468195597331,0.3501497308413188,1.6888759306433126e+18,15.300312825520834,-2.5717225869496665,-8.852185567220053,3.3508583704630532,1.6888759306389842e+18,15.295984212239585,-0.6351980368296305,0.986292858918508,-1.4173092047373457,1.6888759306433126e+18,15.300312825520834,-0.687732458114624,0.7806857873996099,-1.3552554448445635,,,,,,,,,,,,1.6888759306411187e+18,15.2981189453125,32.10307922363281,36.97575988769531,-19.153999710083006,1.6888759306411187e+18,15.2981189453125,-223.5235137939453,131.83075866699218,-152.2803955078125,1.6888759306433078e+18,15.30030773925781,-0.1591842696070671,-0.0785034745931625,-0.7901377975940704,0.5866381824016571,-2.2201300859451294,1.1245728135108948,2.3372029066085815
0.35,1.688875930695214e+18,15.352214192708333,3.533277750015259,-1.7908995946248372,-7.231649080912272,1.688875930695214e+18,15.352214192708333,0.572682241598765,-10.378469467163086,-3.4460633595784507,1.688875930695214e+18,15.352214192708333,-2.9833971659342446,-8.571824709574381,3.720872004826864,1.6888759306908887e+18,15.34788875325521,-0.7033604184786478,0.6510296290119489,-1.0217739343643188,1.688875930695214e+18,15.352214192708333,-0.6339763055245081,0.7518732945124308,-0.9461284478505452,,,,,,,,,,,,1.6888759306911194e+18,15.3481193359375,34.32347869873047,34.530879211425784,-20.96203956604004,1.6888759306911194e+18,15.3481193359375,-221.30311279296876,129.38587951660156,-154.08843383789062,1.6888759306865633e+18,15.343563232421872,-0.174697662393252,-0.0842303559184074,-0.801725447177887,0.5652686953544617,-2.244586944580078,1.069650610287984,2.3767752647399902
0.4,1.6888759307471145e+18,15.404114420572917,5.596422592798869,-7.190820058186849,-6.3080207506815595,1.6888759307471145e+18,15.404114420572917,2.5567309856414795,-15.784454027811686,-2.602593421936035,1.6888759307471145e+18,15.404114420572917,-3.062493006388346,-8.57788880666097,3.640713691711426,1.6888759307427817e+18,15.399781575520834,0.5440773268540701,-0.2212859541177749,0.0170024087031682,1.6888759307471145e+18,15.404114420572917,0.6035857597986857,-0.1824959963560104,0.19837848842144,,,,,,,,,,,,1.6888759307411185e+18,15.398118701171876,34.44791946411133,33.457279205322266,-21.652559280395508,1.6888759307411185e+18,15.398118701171876,-221.17867736816407,128.31227416992186,-154.778955078125,1.6888759307384635e+18,15.39546329752604,-0.183152084549268,-0.0748797158400217,-0.8070038557052612,0.556362251440684,-2.2627097765604653,1.0563164154688518,2.4212162494659424
0.45,1.6888759307990129e+18,15.456012776692708,-3.657144705454508,-7.451884905497233,-1.3159859975179036,1.6888759307990129e+18,15.456012776692708,-5.642475247383118,-16.484354337056477,2.0149560471375785,1.6888759307990129e+18,15.456012776692708,-2.0081318616867065,-9.016724268595375,3.2662285963694253,1.6888759307946885e+18,15.451688151041663,1.2245812217394512,0.9745845595995584,2.8888326485951743,1.6888759307990129e+18,15.456012776692708,1.3498085935910542,0.7831801573435465,3.0149763425191245,1.6888759307903634e+18,15.44736328125,0.0,0.0,1.333761215209961,18.106000900268555,0.0764930620789527,0.0,32.606590018666594,-122.7500759,49.1920741,1.6888759307911206e+18,15.448120800781249,31.275919342041018,36.45359878540039,-21.171879959106445,1.6888759307911206e+18,15.448120800781249,-224.35068054199215,131.3085968017578,-154.29827575683595,1.6888759307903675e+18,15.447367513020836,-0.1792792429526646,-0.053788598626852,-0.7826046148935953,0.5932045181592306,-2.1564152240753174,1.141797145207723,2.338289419809977
